"Internal Reference","Name","Cost","Sales Price","Website Product Category"
"Speaker Back Plate","233/4 x 23 3/4 Plywood Speaker Backing Plate.","0.0","25.0",""
"FIREHD8BLK-64GB","Amazon 8"" Fire HD Tablet 64GB (Black)","143.55","210.0","Tablets"
"Fire 7 Kids Blue","Amazon Fire 7 Kids Tablet 32GB Blue","0.0","159.0","Tablets"
"Fire 7 Kids Red","Amazon Fire 7 Kids Tablet 32GB Red","0.0","159.0","Tablets"
"Fire HD 10 Ocean 32GB","Amazon Fire HD 10 10.1"" 32GB (Ocean)","0.0","189.0","Tablets"
"Fire HD 8 Kids Blue","Amazon Fire HD 8 Kids Tablet 32GB Blue","0.0","175.0","Tablets"
"Fire HD 8 Kids Teal","Amazon Fire HD 8 Kids Tablet 32GB Teal","0.0","175.0","Tablets"
"CAT6-WH (CAT6 UTP Cable (1000')","CAT6 UTP Cable (1000')","0.15","0.3",""
"MHX-LHDME2","Ethereal 2M/6.6ft 4K HDMI Cable","11.6","19.95","Accessories / Cables & Adapters"
"MHX-LHDME3","Ethereal 3M/9.9ft 4K HDMI Cable","13.05","23.0","Accessories / Cables & Adapters"
"MHX-LHDME4","Ethereal 4M/13.1ft 4K HDMI Cable..","16.5","27.5","Accessories / Cables & Adapters"
"MHX-LHDME7-5","Ethereal 7.5M/24.6ft 4K HDMI Cable","40.5","59.95",""
"MHX-LHDME7","Ethereal 7M/22.97ft 4K HDMI Cable","30.0","45.0","Accessories / Cables & Adapters"
"Fire TV 4K/IPTV M.Bennett","Fire TV with IPTV App is a yearly subscription and has to be renewed upon date of purchase with Mel Bennett.","58.0","210.0",""
"Floodlight Cam Wired Plus W","Floodlight Cam to protect large outdoor areas like the driveway or backyard with motion-activated LED floodlights, 1080p HD video, and a built-in security siren","195.75","335.0","Cameras / Security Cameras"
"Floodlight Cam Wired Plus B","Floodlight Cam to protect large outdoor areas like the driveway or backyard with motion-activated LED floodlights, 1080p HD video, and a built-in security siren","239.25","335.0","Cameras / Security Cameras"
"HS-1","Hardware and Supplies - General","0.0","50.0",""
"HS-2","Hardware and Supplies - Large","0.0","75.0",""
"HS-3","Hardware and Supplies - Small","0.0","25.0",""
"","KOR.K23045-3000-WH","40.19","79.95",""
"Floodlight Cam Pro Black","Ring Floodlight Camera with Bird's Eye View & 3D Motion Detection (Black)","296.84000000000003","435.0","Cameras / Security Cameras"
"Floodlight Cam Pro White","Ring Floodlight Camera with Bird's Eye View & 3D Motion Detection (White)","296.84000000000003","435.0","Cameras / Security Cameras"
"Floodlight Cam Pro X White","Ring Pro X Series Floodlight - Lifetime Basic Plan Included","499.96000000000004","675.0",""
"Floodlight Cam Pro X Black","Ring Pro X Series Floodlight - Lifetime Basic Plan Included","499.96000000000004","675.0",""
"SOLAR 2ND GEN WHITE","Ring Solar Panel 2nd Generation - 4W for Spotlight Cam Plus and Spotlight Cam Pro (White)","72.47","110.0","Home Security"
"Spot Cam Pro Batt BK","Ring Spotlight Cam Pro (Black), Battery | 3D Motion Detection, Two-Way Talk with Audio+, and Dual-Band Wifi","272.72","385.0","Cameras"
"","","","","Home Security"
"Spot Cam Pro Batt WH","Ring Spotlight Cam Pro (White), Battery | 3D Motion Detection, Two-Way Talk with Audio+ and Dual Band Wifi","272.72","385.0","Cameras"
"","","","","Home Security"
"SUB G3 B","SONOS Subwoofer Generation 3, Black","868.5500000000001","1125.0","Home Audio / Subwoofers"
"SA405-B1","Sanus Series 1 Soundbar Mount","29.990000000000002","55.0","TV & Home Theater / Mounts / Speaker Mounts"
"SASB1-B1","Sanus Soundbar Mount for Mounted TV","34.39","69.0","TV & Home Theater / Mounts / Speaker Mounts"
"SASP1-B1","Sanus Streaming Device Panel","14.75","24.0","TV & Home Theater / Mounts"
"VLF728","Sanus VLF728 42"" to 90"" Large TV Full Motion Wall Bracket w/ 28"" Extension","222.38","399.0","TV & Home Theater / Mounts / TV Mounts"
"VLT5-B1","Sanus VLT5 42""-90"" Large Tilting Mount","76.49","145.0","TV & Home Theater / Mounts / TV Mounts"
"VMF720-B2","Sanus VMF720 Medium 20"" Full Motion Mount, 2.04"" retracted depth","141.67000000000002","250.0","TV & Home Theater / Mounts / TV Mounts"
