Item,Price,MPN
4-243-013-01,8,
BDA Credit Assoc.,0,
Cat6 Termination,15,
Customs Duty,0,
Data Cabling,0,
Data/Coax Cabling,0,
Delivery,35,
Delivery & Basic Setup,50,
Delivery & Fixed Remount,100,
Delivery & Full Motion Remount,135,
Disposal of Items,25,
Equipment Service,100,
Equipment Service:Field Labor (Service Techs),125,
Equipment Service:Field Labor Asst Tech,75,
Expedited Shipping,0,
Firestick Programming,20,
Freight Charge,0,
Installation - Home,0,
Installation Warranty,0,
IPTV,120,
Labor,95,
Labor:Electrical Installation,0,
Labor - Service Dept,100,
Polycom Studio - One Year Subsc,0,
Programming and End User tRAINI,0,
Refund Given,0,
Service Call,95,
Service Call:Lighting Service,0,
Service Call - Home,0,
Shipping & Duty Charges,0,
used on the security system - d,0,
Warranty Labor,0,
.22  OHM  X2RESISTOR,8,
0.056UF 800V,6,
0.1uf 1Kv,4,
0.47uf / 400v,6,
00D2121196008,45,
010-0N10-05363-E,337,010-0N10-05363-E
0326010.MXP,5,
0326012.HXP,5,
03GC430048,34,
08-025050-04002,21,
08-055040-03002,85,
08-065050-04004,70,
08-H580EU-MA2H,285,
08-HPB310-AU1S,135,
08-HPB350-MA0S,255,
08-HPSG1K-KY0S,38,
08-HPSG1K-TH0S,49,
08-SB210U-PW0,80,
08-SB210UHD0,64,
1-006-134-41,155,
1-107-670-11,19,
1-982-698-11,79,
1 MEGOHM RESISTOR,0,
1 WATT,4,
1/4 phono plug,6,
1/8W Resister,4,
10 Watt resistor,8,
100010LW,1.5,QB:01034665853639
100036,0.5,QB:01034665853640
1000uf / 10v,4,
1000uf 50v,5,
1000uf 80v,14,
1000uf@25V,4,
1000uf@35v,4,
100508,690,100508
100ohm resistor,4,
100PF@100V,4,
100uf 160V  105C,4,
100UF 16V CAP,4,
100UF 250V,6,
100UF 25V CAP,4,
100UF@100V,4,
101K,4,
104J,4,
10pf,4,
10UF@250V,6,
10uf@25V,4,
10UF@63V,4,63UT10
12000uf 71V,18,
12000uf 80v,18,
127B-USBC-MULTIPORT,160,127B-USBC-MULTIPORT
12uf 100v NP,4,
12V BULB,9,
140-132107-02,700,140-132107-02
142-10H SCM-142,85,
146074,80,
15 OHM 25W,8,71-HL25-06Z-15
150uf 250V,8,
18N60T,8,
1GG07UT#ABA,0,QB:01034665854516
1N4004,4,
1N4007,4,
1N4148,4,
1TB NAS Hard Drive,110,QB:01034665854315
1UF 50V,4,
2 WATT RESISTOR,4,
20K POT,12,
2200uf 25v,6,
2200uf 35V,7,
2200UF 80V,12,661-EKMH800VNN222MR3
220uf 16V,4,
220uf 35V,4,
221K,4,
225GY1000,0,QB:01034665853524
2306-000166,4,
24-4P-L6SH-WHITE,0.6,QB:01034665853636
261278-102,75,
263335,40,
265-F1,473,
273488-007,50,
285-1576-ND,245,285-1576-ND
285837-003,195,
289138-011,65,
29523,2235,29523
2CC557,0,2CC557
2n3904,4,
2SA1015,6,
2SA1123,8,
2SA1473A,8,
2SB1163A,15,
2SB1647,12,
2SB631,8,
2SB649A,12,
2SB778,11,
2SB817,12,
2SC1815,4,
2SC2073,12,
2SC2690A,8,
2SC2785,9,
2SC3182,24,
2SC3198,4,
2SC3395,6,
2SC4468,8,
2SC5197,8,
2SC945,8,
2SD1047,12,
2SD1718A,15,
2SD2390 / 2SB1560,32,00D9960018706
2SD2560,12,
2SD669A,10,50203000116
2SD998,14,
