Internal Reference,Product Name,Odoo Price,QB Price,Match Quality
0.1uf 100v,863-LV58063MC-AH Switching Voltage Regulator,24,4,100% (ItemAfterColon)
08-HPSG15-CS0,Main PCB Board #08-HPSG15-CS0,255,251,100% (MPN)
08-SB210U-AM0,POWER AMP BOARD BAR2...1 SUBWOOFER,25,75,100% (ItemAfterColon)
1-474-732-12,Sony 1-474-732-12 GL83 Power Supply/LED Drive Board,165,135,100% (MPN)
106532,"HDMI Extender Over Cat5e/Cat6 Cable, Upto 196-Feet with DDC and HDCP",35,135,100% (ItemAfterColon)
12-2C-EX+,12/2 EX Plus Speaker Cable in 1000' Box,0,1,100% (ItemAfterColon)
12GSDI-B-B-003,Laird 12GSDI-B-B-003 12G-SDI 4K UHD Video Coax BNC Cable - 3 Foot,45,35,100% (MPN)
12GSDI-B-B-006,Laird 12GSDI-B-B-006 12G-SDI 4K UHD Video Coax BNC Cable - 6 Foot,49.95,40.25,100% (MPN)
12GSDI-B-B-010,Laird 12GSDI-B-B-010 12G-SDI 4K UHD Video Coax BNC Cable - 10 Foot,59.95,47.25,100% (MPN)
14090,SURGE PROTECTOR 4 OUT 2 USB 450 JOULES,39,39.95,100% (ItemAfterColon)
1508-8HE BWX RPL BSKT 00560010,"Peavey 15"" Black Widow Basket",210,195,100% (ItemAfterColon)
16 C/T,JBL CONTROL 16C/T Two-Way 165 mm Co-axial Ceiling Loudspeaker - White,275,295,100% (MPN)
16/4SP-26-WH,4 Cond. 16awg Speaker Cable-White,0.75,0.9,100% (ItemAfterColon)
165BDL80007X/00,LCD 3x3 Video Wall,50823,59800,100% (MPN)
2114,3FT 24AWG Cat6 550MHz UTP Bare Copper Ethernet    Network Cable - Blue,3.5,426.3,100% (ItemAfterColon)
214-WT,CAT5E CAT6  4 PORT SURFACE MOUNT TELEPHONE WALL PLATE- WHITE - 1 CAT5E CAT6  4 PORT SURFACE MOUNT TELEPHONE WALL PLATE- WHITE - 1 EA/BAG....,6,7.95,100% (MPN)
2200-86270-034,"POLY STUDIO X50 & POLY TC8 4K Video Conf/Collab/Wireless Pres Sys:Touch Cntrl,4K 5x EPTZ auto-track 120-deg FOV Cam,Codec,Stereo Spkrphone,Wall Mount;2 HDMI 1.83m,1 CAT5E LAN 4.57m;NTSC/PAL;Pwr:MEX and CARIB-Type B,NEMA 5-15.Includes 1YR Premier Srvc.",4825,4425,100% (MPN)
2215-86418-001,Poly Studio X50 Optional Vesa Mounting Kit. Compatible with the Studio X50.,345,335,100% (MPN)
222-3GHZ,2-WAY 3 GHZ Splitter,0,4.5,100% (MPN)
23681050360AS,DEN-23681050360AS IC MN864787 AVRX7200WA,60,95,100% (ItemAfterColon)
23681050460AS,Denon IC MN864788 AVRX7200WA,70,75,100% (ItemAfterColon)
26-663-06,Extron Ultra/6 4k Premium High Speed HDMI Ultra-Flexible Cable 6',0,96,100% (MPN)
285104-101,CineMate home theater system - Universal Remote,85,55,100% (MPN)
288579-311,Bose 321 GSX III Remote Control,55,60,100% (ItemAfterColon)
294925,Hisense Main Board/Power Supply 294925 294926 for 43A6G,92,90,100% (ItemAfterColon)
300289,Ceiling Closure Panel Lift Accessories for Draper Aerolift 300321,1400,1525,100% (MPN)
30418279,18V CMOS 555 TIMER SMD,4,5,100% (ItemAfterColon)
31R1-002WH,"3/4 inch Surface Mount Cable Raceway, White, Joint Cover, Tracking, Cable Cover",4.5,6,100% (ItemAfterColon)
31R2-002WH,"1.25 inch Surface Mount Cable Raceway, White, Joint Cover, Tracking, Cable Cover",4.95,6,100% (ItemAfterColon)
31R3-000WH,"1.75 inch Surface Mount Cable Raceway, White, Straight 6foot Section, Tracking, Cable Cover",59,60,100% (ItemAfterColon)
32A4H,"Hisense 32"" 720P Android Smart TV",325,295,100% (ItemAfterColon)
3.301E+11,Yealink VCS-TV Mount2 Mounting Kit,205,220,100% (ItemAfterColon)
344761-0030,Bose Wave Soundtouch Remote (White),25,29.95,100% (ItemAfterColon)
363858-001,"M/I, 2414H-1 Replacement tweeter for the Eon series speakers",78,119,100% (MPN)
363858-001,"M/I, 2414H-1 JBL",78,119,100% (MPN)
363858-001X,"JBL 363858-001X 2414H-1 HF Driver for EON210P, EON305, EON315",60,119,100% (ItemAfterColon)
43A6KV,"Hisense 43A6KV 43"" 4K Google Smart TV",395,450,100% (ItemAfterColon)
43NANO75,"LG 43"" 4K Smart TV",695,650,100% (ItemAfterColon)
43QNED75,***DISPLAY MODEL*** LG 43QNED75 43-Inch Mini-LED Smart TV,600,750,100% (ItemAfterColon)
43UR9000,"43"" 4K HDR10 Pro Smart LED TV",775,725,100% (ItemAfterColon)
4K400X,4K400X,2695,3875,100% (MPN)
5-RS18,Middle Atlantic 5-RS18 Low-Friction Runner Kit,65,0,100% (MPN)
500012-6,6FT 3.5MM to XLR M to M Cable,16.5,24,100% (MPN)
500302,2 WAY SPLITTER,2.5,145,100% (MPN)
5020337X,"JBL 5020337X 2408H-2 HF Driver for PRX812W & PRX815W AC195, AC266, AC299",70,135,100% (ItemAfterColon)
50A6H,"Hisense 50"" 4K Smart LED TV",675,555,100% (ItemAfterColon)
50U6H,"Hisense Quantum 50"" 4K LED Google TV",695,595,100% (ItemAfterColon)
55A6H,"Hisense 55"" 4K Smart LED TV",625,695,100% (ItemAfterColon)
55U6K,"Hisense 55U6K 55"" 4K Android Smart TV",645,795,100% (ItemAfterColon)
55U8H,"Hisense Quantum 55"" ULED Google TV",795,895,100% (ItemAfterColon)
55UR640S,"55"" Commercial, UHD TV Signage, Brightness(Typ.) : 400 nits, Resolution : ULTRA HD (3,840 x 2,160), Improved ,Design with Slim Depth, webOS-based High Performance",1095,1625,100% (MPN)
55UR9000,"55"" Class UR9000 Series LED 4K UHD Smart webOS TV",995,925,100% (ItemAfterColon)
55US670H0UA,"55"" US670H Series UHD Commercial TV",0,1095,100% (MPN)
58.43T16.001,Samsung 58.43T16.001 (LBM430M0801-DM-3(0)) LED Backlight Strips,60,100,100% (ItemAfterColon)
65A6H,"Hisense 65A6H 65"" 4K Google Smart TV",850,799,100% (ItemAfterColon)
65U6K,"Hisense 65U6K 65"" 4K Android Smart TV",875,995,100% (ItemAfterColon)
65UH7F,"65"" 3840 x 2160 UHD LED Backlit LCD Large Format Monitor, Black   24/7",2650,2195,100% (ItemAfterColon)
